"X0.26_slope","X0.26_qval","X0.76_slope","X0.76_qval","X1.3_slope","X1.3_qval","X1.8_slope","X1.8_qval","X2.3_slope","X2.3_qval","X3.2_slope","X3.2_qval","X4_slope","X4_qval","X4.5_slope","X4.5_qval","X5_slope","X5_qval","X5.5_slope","X5.5_qval","X5.8_slope","X5.8_qval","X5.9_slope","X5.9_qval","X6.1_slope","X6.1_qval","pf","pb"
"PKNH_0000400",-5.50369949428233e-05,0.394892398855172,0.17174046605747,0.0531393774803607,-0.372729655485588,5.37481890633826e-08,-0.00858704566460043,0.0350674248852574,0.000265860167420683,0.67429900076056,5.96463839271424e-06,0.38369642887739,0.000272332659079898,0.00551196760591159,-0.000913240289772672,0.422746606225264,0.441807628770395,4.80374159453899e-27,-0.718992019638404,1.27398063872377e-13,0.468605679004318,0.984063093901276,-0.223536836574875,0.828922277565475,-0.0355297334166257,0.200592905811538,NA,NA
"PKNH_0100400",-1.35924988275942,7.58895120131003e-13,-0.0238418308810923,0.956699686975975,-0.0528833200287338,1.7394457516249e-05,-0.00227268999508471,0.130846988943019,-7.45763905982741e-07,0.131106184760796,-0.00122906787799587,0.801481863738264,0,1,0.00329696020290042,0.437266781130983,0.0150726437532311,0.30197355575462,0.578845793920657,2.6234319060764e-15,0.0138448151295164,1,-0.656200916339115,0.921574739010299,0.989112385977685,0.000383023293566977,NA,NA
"PKNH_0100700",0.0898146967325357,2.0329422997242e-13,0.447649028522982,0.0028739901759664,-0.152398704572498,0.0162408398270055,-0.150900354972412,4.93689676098618e-12,-0.0166120237316004,1.02608172478838e-06,-0.000516434969361068,0.659856506022369,0.00777392114869977,0.284397751334373,-0.0183089929622703,6.16167468525353e-08,-0.0130423234801877,8.42965391543278e-05,-4.09764262330779e-05,2.05770378870209e-13,5.12756181713562e-05,0.905654478471114,9.16514699810605e-06,0.990240658443993,0.00438539640960057,0.28594391024449,NA,NA
"PKNH_0103100",0.00012605868178546,1.52498316579158e-05,0.00284847394692459,0.341283894410138,0.27751868313438,4.0280507671364e-15,-0.263238214363096,2.42805446750174e-10,0.0535844052170547,0.108301346671105,0.0413439758890066,0.00413220171787637,-0.0923930645936334,0.359998458640336,-0.00997850534842405,0.720266984181034,-0.205756227260066,3.15249481595841e-26,-0.00248866747318054,3.17105075364861e-08,0.000569413639582181,0.984063093901276,0.00207658582626839,0.0186372809062231,8.04200565511855e-06,0.183400558775665,"PF3D7_0704600","PBANKA_0802300"
"PKNH_0104200",0.0224036937165444,6.59950040853608e-15,0.341021326222677,0.00010297482266946,-0.425390290756401,1.2729693623292e-09,-0.0515215895332603,6.4402411903001e-08,-1.87320581504708e-05,1,-0.000302595801859489,0.138554021488701,0,1,0.000269285054907221,0.454546808942787,-0.000722988307162244,0.149907881031178,6.65866579154471e-05,0.0832343857437788,-0.000235364184903084,0.984063093901276,0.000727613693172277,0.0647003469970916,0.000889822018117436,0.28594391024449,NA,NA
"PKNH_0104400",-0.000136028365872057,0.190330950671242,3.10744649536123e-06,0.972885422026139,0.167669883006916,4.84936621584914e-10,-0.308735309731445,1.14298372885508e-17,-0.00336188676047814,0.71789583520064,0.00528868635810855,0.0241506613568518,-0.0119630580857937,0.0895428949459914,-0.00354409581957989,3.96372885815056e-14,-0.00343021114585905,0.0129761912422682,0.000213207008386687,0.285186324489974,-0.00640486949390653,0.984063093901276,-0.0151685829380559,0.0189684094354879,-0.000118900112446498,0.016236061837079,"PF3D7_0705900","PBANKA_0803500"
"PKNH_0109000",-7.57839002635427e-05,0.950458833322331,0.0659246985063581,0.0310323016472815,0.097688081823342,0.12412874024426,-0.226068928790581,8.00805316061693e-15,0.0113943184771474,0.00960772448959321,0.00174968004533713,0.412671096219709,0.0482130348609233,0.00850784282768275,-0.0902716770463375,4.90819101730349e-31,-0.00797892274339252,0.116197545780218,-0.00233467337996396,0.108933203014358,-0.014004007401168,0.984063093901276,5.87492488283811e-05,0.767387522037725,0.0023652471091469,0.28594391024449,NA,NA
"PKNH_0109200",1.91156095254951e-05,0.00903263893451648,7.30512044887441e-05,0.0636494955835387,0.18128373289618,8.45048792937514e-10,-0.196963499444076,4.62030123315648e-11,-0.0144836238462207,0.0286605732327687,-0.000854221406862464,0.0681183614409551,0.000927957933917642,0.213038301267635,-0.000727689751206856,0.3791508889539,-0.00113434335713408,0.0545510969283253,3.93580627614851e-05,0.00230494662597152,-1.60562082898087e-05,1,-0.000107821725844851,0.293379933712977,-5.61406704607637e-05,5.44667741824703e-06,"PF3D7_0710500","PBANKA_1221100"
"PKNH_0110800",-0.00198439696724583,0.303152068737402,0.000248155086468188,5.21589462133449e-08,0.0955452126873947,2.22881134506683e-07,-0.070053567783961,2.02429814055764e-05,-0.0209244869874354,0.00312681514632232,0.0374670544886067,7.42700799812736e-25,0.0828077096896255,0.00097644946861102,-0.116530253009772,9.45133935533856e-15,-0.0798263603568866,0.00147098271599931,-0.0754094791492167,2.09041749213185e-07,-0.0398929516269122,0.984063093901276,0.152539648075309,0.451928692016231,0.00120446752220327,0.519896615966883,"PF3D7_0807900","PBANKA_1222800"
"PKNH_0111300",-1.23992172615813e-06,0.465119740245596,3.38775495355693e-05,1,0.188551614836164,1.14203181618262e-09,-0.370916527090107,7.28411240603981e-19,0.0471314833471705,0.00012487411595815,0.0753432018404725,2.3501548332271e-10,0.173496306102979,0.0113328832250812,-0.408862032878056,3.05860917138193e-92,-0.0081608107858586,1.3611370013486e-10,9.52235686582254e-05,1.26001858461361e-08,0.000314068649514436,0.923549762337291,9.28992211432519e-05,0.875903930177893,2.40353942049905e-05,0.266121791444416,"PF3D7_0807500","PBANKA_1223100"
"PKNH_0111400",-1.40178479378789e-05,3.80975012848376e-06,0.0159318118664907,0.51792128823215,-0.0127434636932512,0.0143848875121666,0.0316293440662047,3.65732731330211e-05,-0.00449331444938902,0.779932172948924,-0.0170384912947419,5.17567925760412e-18,0.106737411607133,0.000278749103175545,-0.229903561564735,1.24304146220569e-16,-0.0930805057149574,1.94741557535504e-07,0.000149062439871615,5.3233047126384e-05,-1.56160197838423e-05,0.984063093901276,0.00127354971890299,0.0186372809062231,1.5121620225099e-06,0.227262164909401,"PF3D7_0807400","PBANKA_1223200"
"PKNH_0111500",0.084703259882361,7.27364393473733e-12,0.199770551555469,0.000137711619401213,-0.0451985845861952,0.463737611953327,-0.141893667879235,1.96521595970236e-12,-1.27437074790825e-05,1,-0.00101831678286213,0.138554021488701,0,1,-0.000683244033712412,0.819523287196148,-0.00865220657496363,0.0748524390271285,-0.000929050913640302,0.703663545328844,-0.0127695252410223,0.984063093901276,-0.0340055684648303,0.666563342064429,0.00394281311724227,0.301930631118611,"PF3D7_0807300","PBANKA_1223300"
"PKNH_0111600",-8.84830820068871e-05,0.639456934842859,-0.000366486886947296,0.143264369251356,0.0777999729444149,7.29761438224675e-05,-0.149263960103662,8.76658434586797e-07,0.00849836395483347,0.662228419037254,0.0581345347402166,7.86143346771429e-13,0.0352550006896198,0.638257096853983,-0.0425315178592689,0.0405969229864595,-0.0582331009426494,2.41292054796271e-06,-0.000983859767863197,2.55086683229653e-17,0.00417921319219815,0.905654478471114,0.000811200887288837,0.897581981445594,-0.000293439908081766,0.113668645111102,"PF3D7_0807200","PBANKA_1223400"
"PKNH_0115000",0.06449703680806,5.16545864570003e-11,-0.0330093207690376,0.213388285167937,0.0549482594227351,0.149271475806584,-0.156970138452739,6.66709728039377e-14,-0.00485879427523974,0.238009172394327,-0.00429814972903162,8.48970435653066e-07,0,1,6.94882352433278e-05,0.865280833539217,0.00480196656760657,0.0561347214681028,2.69548882030838e-07,0.835477208935537,-0.00637119494267381,0.984063093901276,-0.100619286385499,0.0186372809062231,0.0035085947178711,0.28594391024449,"PF3D7_0804000","PBANKA_1226400"
"PKNH_0116100",0.000218052583644333,7.43592806191423e-13,2.86851579366131e-05,0.0357888258411497,1.16756461320683e-05,0.157353988773049,-0.00103080114000353,0.471823940510137,-0.000252994238763637,0.689917944686096,-1.71948724027386e-06,0.777039388764248,2.72421313511375e-05,0.415443320928934,0.00851183786677007,0.00125635032308452,1.44040878828313,1.71997611131215e-52,-0.915672941173868,2.49676987773203e-21,0.103795599708229,0.905654478471114,0.0738468644050301,0.371314594683511,-0.00296149966536912,0.434613443160679,"PF3D7_0802800","PBANKA_1227400"
"PKNH_0116200",0.00011800759221251,0.137550433394247,0.000359485658603447,0.0371394962722934,0.00370749798611897,0.39485668864389,0.013261310227689,4.58461844270124e-09,0.0957400081753316,1.06398128229512e-11,0.0187971660334848,0.00933013676963465,0.396503130570162,5.81347587155324e-06,-0.677376053361788,2.16656853194471e-46,-0.0495877024177282,0.0025799238863975,0.00535952436210447,0.0327534492385846,-0.0458177945284158,0.989330207831287,-0.00657288100916933,0.869303951767685,0.00664117715328745,0.614170937854775,"PF3D7_0802700","PBANKA_1227500"
"PKNH_0117200",-0.00162977993513157,0.129483499664179,-1.78676336261154e-07,1,0.0200397492689104,0.0119516503463827,0.0261097935539107,0.467365977839194,-0.0203217790820363,0.626244870306133,-0.00719219933499097,0.279252875383605,0.0703069071503377,0.0148569125539806,0.0481263285737078,0.000217342195606268,0.202766221990245,0.0705565364450813,-0.0836557642157393,0.00367154052832697,-0.0180507945294261,1,0.0155970196322698,0.350456295530071,0.00172291055239213,0.734123147985941,"PF3D7_0801700","PBANKA_1228500"
"PKNH_0100300",-0.184320362592623,4.60118359899511e-08,0.0541190379842954,0.0347967498220762,-0.0275151182882765,0.0033011698701305,0.000227860480128233,0.0432053689751151,0.000176834108641103,0.653650212751996,0.00530952262896979,8.16931988880011e-05,-0.00700562776620821,0.29574971335928,0.685975329996241,1.9320026993823e-94,-0.799404100437935,2.48663393482554e-36,0.0341571552462736,0.00710406387716176,-0.126331767029206,0.984063093901276,0.192965785555894,0.787702823330286,0.245126324488131,0.0048887235446045,NA,NA
"PKNH_0101800",3.00310749902715e-05,1.75440543354999e-09,7.60545904760544e-05,0.0010847567120424,-0.000100103013779368,1.25592010242803e-06,0.000964407504789204,0.779259739000539,0.0963821056398336,8.8487857830948e-13,0.275217836915515,1.90066741155911e-53,-0.078737975130769,0.612506663612708,-0.574032792325477,8.43977523862983e-64,4.7256490616142e-05,2.311964537921e-15,1.98208609636075e-05,0.00951022738958974,-0.00011677927152103,0.905654478471114,7.44208553481492e-05,0.716314583200767,9.87888373198913e-06,0.175093922044091,"PF3D7_0703600","PBANKA_0801300"
"PKNH_0102700",0.0826119936355601,5.18741208021127e-15,0.463377899765971,0.00437703918403033,-0.526924175508086,3.81319048743485e-15,-0.0588013680811698,1.43639246400702e-07,-0.000390377245168451,0.757888894123839,-0.000129586142796128,0.36167331485422,0.00169338268607116,0.00591571483419908,5.2055636640163e-05,0.921162845098624,-0.00130246841731066,0.491340601420713,0.000232617086711087,0.0468877946474249,-0.00213143164775582,0.984063093901276,-0.00102721095136677,0.732635462914082,-6.01329882970177e-05,0.052561194777747,NA,NA
"PKNH_0104700",-0.000327487154553794,9.29718283090211e-17,-9.07447645267536e-05,0.0142083827340067,0.0179200597100188,0.208051274960067,0.382244684114759,1.77702545734228e-18,-0.400648055600233,2.4073432996264e-10,-0.0450191011000869,1.31819859262542e-07,0.0438917965238755,0.00548589849073689,-0.0969544447708866,5.24458311686058e-46,-0.000626349006929574,0.502896092575621,0.000216097905671771,0.731582500438888,3.74920346044965e-05,1,0.000212016151067558,0.851689695551512,0.000187412913430206,0.0137133012763273,"PF3D7_0706200","PBANKA_0803800"
"PKNH_0105800",-0.00410415983549466,0.119262842289776,-0.00136828647514984,0.956625441610612,-0.000622369633954955,0.565567856761002,0.00121713690821115,0.01942593496652,0.00435993267650899,0.0240755134355619,0.0770782405242787,2.10137995028144e-26,0.643507056776394,3.89480829836085e-11,-0.709537616470088,7.61645910072678e-53,-0.403677688582099,1.70378348013358e-18,-0.00577125132770026,0.0168448613940115,0.000266177603370195,1,-0.00683512886060041,0.0572255378123771,0.00101290672623233,0.0257602348255826,"PF3D7_0707300","PBANKA_0804500"
